run_order,execution_slot_id,corpus_cell_id,condition_id,repetition_index,runtime_config_id,template_id
1,cond-72bd6c176bb9592b27fa::r0,q27_user_sum__baseline,cond-72bd6c176bb9592b27fa,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
2,cond-416644b0da6a48c2b9b7::r0,q27_user_sum__increase_gac_work_mem,cond-416644b0da6a48c2b9b7,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
3,cond-f90916670f1125d505bb::r0,q27_user_sum__mitigate_remote_path_bundle,cond-f90916670f1125d505bb,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
4,cond-ef17f7aa2b5811d0873a::r0,q27_user_sum__regional_topk_candidates,cond-ef17f7aa2b5811d0873a,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
5,cond-8f34877def719a77b255::r0,q26_tenant_hour_count__increase_gac_work_mem,cond-8f34877def719a77b255,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
6,cond-14e51d1d6f691b698a2d::r0,q26_tenant_hour_count__regional_topk_candidates,cond-14e51d1d6f691b698a2d,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
7,cond-e5f2ec8c336eb7496803::r0,q26_tenant_hour_count__baseline,cond-e5f2ec8c336eb7496803,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
8,cond-5210f09d3fae149ac1a3::r0,q26_tenant_hour_count__mitigate_remote_path_bundle,cond-5210f09d3fae149ac1a3,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
9,cond-4d8790fa36869b64198e::r0,q18_event_recent_high_value__regional_topk_candidates,cond-4d8790fa36869b64198e,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
10,cond-0c42c10f372ba8c3c4ed::r0,q18_event_recent_high_value__mitigate_remote_path_bundle,cond-0c42c10f372ba8c3c4ed,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
11,cond-c10c256b51a09fd89b2c::r0,q18_event_recent_high_value__increase_gac_work_mem,cond-c10c256b51a09fd89b2c,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
12,cond-38a3f871fc3298a9853c::r0,q18_event_recent_high_value__baseline,cond-38a3f871fc3298a9853c,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
13,cond-ddc9360c1d096719515d::r0,q24_tenant_midband_sum__mitigate_remote_path_bundle,cond-ddc9360c1d096719515d,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
14,cond-c793f69100da9d8073a9::r0,q24_tenant_midband_sum__baseline,cond-c793f69100da9d8073a9,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
15,cond-711872a79328bba478df::r0,q24_tenant_midband_sum__regional_topk_candidates,cond-711872a79328bba478df,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
16,cond-75f64252c841322ea368::r0,q24_tenant_midband_sum__increase_gac_work_mem,cond-75f64252c841322ea368,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
