corpus_id,corpus_cell_id,logical_question_id,execution_strategy,template_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class
clean-run-eu-us-gac-v1,single_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default,daily_tenant_rollup,single_region_citus,q01_tenant_rollup,pilot-balanced-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot
clean-run-eu-us-gac-v1,single_daily_rollup_default__dataset-pilot-skew-heavy-v1__runtime-default,daily_tenant_rollup,single_region_citus,q01_tenant_rollup,pilot-skew-heavy-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot
clean-run-eu-us-gac-v1,single_event_filter_default__dataset-pilot-balanced-v1__runtime-default,event_filter_summary,single_region_citus,q03_event_filter_summary,pilot-balanced-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot
clean-run-eu-us-gac-v1,single_event_filter_default__dataset-pilot-skew-heavy-v1__runtime-default,event_filter_summary,single_region_citus,q03_event_filter_summary,pilot-skew-heavy-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot
clean-run-eu-us-gac-v1,single_tenant_point_default__dataset-pilot-balanced-v1__runtime-default,tenant_point_rollup,single_region_citus,q04_tenant_point_rollup,pilot-balanced-v1,default,eu_us_gac,negative_control,,well_reduced_localized,pilot
clean-run-eu-us-gac-v1,single_tenant_point_default__dataset-pilot-skew-heavy-v1__runtime-default,tenant_point_rollup,single_region_citus,q04_tenant_point_rollup,pilot-skew-heavy-v1,default,eu_us_gac,negative_control,,well_reduced_localized,pilot
clean-run-eu-us-gac-v1,single_tenant_tier_join_default__dataset-pilot-balanced-v1__runtime-default,tenant_tier_daily_join,single_region_citus,q05_tenant_tier_daily_join,pilot-balanced-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot
clean-run-eu-us-gac-v1,single_tenant_tier_join_default__dataset-pilot-skew-heavy-v1__runtime-default,tenant_tier_daily_join,single_region_citus,q05_tenant_tier_daily_join,pilot-skew-heavy-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot
clean-run-eu-us-gac-v1,single_user_segment_default__dataset-pilot-balanced-v1__runtime-default,user_segment_topk,single_region_citus,q06_user_segment_join,pilot-balanced-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot
clean-run-eu-us-gac-v1,single_user_segment_default__dataset-pilot-skew-heavy-v1__runtime-default,user_segment_topk,single_region_citus,q06_user_segment_join,pilot-skew-heavy-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot
clean-run-eu-us-gac-v1,single_global_user_default__dataset-pilot-balanced-v1__runtime-default,global_user_topk,single_region_citus,q07_global_user_segment_join,pilot-balanced-v1,default,eu_us_gac,baseline,,join_movement,pilot
clean-run-eu-us-gac-v1,single_global_user_default__dataset-pilot-skew-heavy-v1__runtime-default,global_user_topk,single_region_citus,q07_global_user_segment_join,pilot-skew-heavy-v1,default,eu_us_gac,baseline,,join_movement,pilot
clean-run-eu-us-gac-v1,single_user_value_default__dataset-pilot-balanced-v1__runtime-default,user_value_topk,single_region_citus,q02_global_user_topk,pilot-balanced-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot
clean-run-eu-us-gac-v1,single_user_value_default__dataset-pilot-skew-heavy-v1__runtime-default,user_value_topk,single_region_citus,q02_global_user_topk,pilot-skew-heavy-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot
clean-run-eu-us-gac-v1,single_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default,multi_dimension_rollup,single_region_citus,q08_multi_dimension_rollup,pilot-balanced-v1,default,eu_us_gac,baseline,,"join_movement,gac_finalization_heavy",pilot
clean-run-eu-us-gac-v1,single_multi_dimension_default__dataset-pilot-skew-heavy-v1__runtime-default,multi_dimension_rollup,single_region_citus,q08_multi_dimension_rollup,pilot-skew-heavy-v1,default,eu_us_gac,baseline,,"join_movement,gac_finalization_heavy",pilot
clean-run-eu-us-gac-v1,single_top_tenants_default__dataset-pilot-balanced-v1__runtime-default,top_tenants,single_region_citus,q10_top_tenants,pilot-balanced-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot
clean-run-eu-us-gac-v1,single_top_tenants_default__dataset-pilot-skew-heavy-v1__runtime-default,top_tenants,single_region_citus,q10_top_tenants,pilot-skew-heavy-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot
clean-run-eu-us-gac-v1,single_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default,event_full_scan_summary,single_region_citus,q09_event_full_scan_summary,pilot-balanced-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot
