query_run_id,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260626T113723Z-clean-run-eu-us-gac-v1__pilot-balanc--ed53d2c27948--ultiregion_top_tenants__lookback_days-1__limit_k-50,0.2223798953387761,0.5366210129334394,0.22277801565215352,0.9294548588097926,0.5,0.3054617762148651,0.4276035201922874,0.0,0.0,0.004618802153517007,0.007071067811865424,0.2649461597478896,0.19293142095945223,0.0,0.5,0.25,0.43777817509311406,0.43461458151922966,0.3464651729614107
20260626T113746Z-clean-run-eu-us-gac-v1__pilot-balanc--42c303187471--c_fdw_global_user_join__lookback_days-3__limit_k-10,0.21669628865420165,0.5421652197243788,0.22277801565215352,0.9390577066593679,0.5,0.3914577022883822,0.45847641824086016,0.0,0.0,0.0060850885514588905,0.003849001794597467,0.2649461597478896,0.2649461597478896,0.0,0.5,0.25,0.4692488924905583,0.25,0.3464651729614107
20260626T113805Z-clean-run-eu-us-gac-v1__pilot-balanc--be5beb641dca--fdw_user_segment_join__lookback_days-30__limit_k-25,0.20452207353977864,0.5421652197243788,0.22277801565215352,0.9390577066593679,0.5,0.4147915168824891,0.46256584294148195,0.0,0.0,0.0060850885514588905,0.017320508075688773,0.2649461597478896,0.2649461597478896,0.0,0.5,0.22129788240380255,0.4729488157333242,0.22129788240380255,0.3464651729614107
20260626T113825Z-clean-run-eu-us-gac-v1__pilot-balanc--8840045b50ee--rollup__lookback_days-14__min_value-900__limit_k-25,0.21874297216003888,0.5278263990275494,0.22277801565215352,0.9142221406918393,0.0,0.0,0.0,0.0,0.007561141624794636,0.0038481527180242087,0.008129804875101357,0.2649461597478896,0.19293142095945223,0.0,0.5,0.25,0.4596629880674338,0.46065149571991676,0.08783332806498906
20260626T113842Z-clean-run-eu-us-gac-v1__pilot-balanc--e5f1c6ac4bf6--__gac_fdw_top_tenants__lookback_days-14__limit_k-50,0.220972951121933,0.5332492492305295,0.22277801565215352,0.9236147927652361,0.5,0.3054617762148651,0.4146741937023598,0.0,0.0,0.004618802153517007,0.017320508075688773,0.19293142095945223,0.19293142095945223,0.0,0.5,0.25,0.4689462388033425,0.41266931424472353,0.3464651729614107
20260626T113859Z-clean-run-eu-us-gac-v1__pilot-balanc--67cf1552936c--u_tenant_id-5__us_tenant_id-10010__lookback_days-14,0.22232424216259175,0.50884825662058,0.30593347330240334,0.8813510338096907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192738269154615,0.009791833335309523,0.0,0.0,0.25,0.44831672513746823,0.25,0.47033775845242265
20260626T113914Z-clean-run-eu-us-gac-v1__pilot-balanc--0501943f7515--tenant_id-1000__us_tenant_id-10100__lookback_days-7,0.2223440627165041,0.50884825662058,0.30593347330240334,0.8813510338096907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192738269154615,0.009791833335309523,0.0,0.0,0.25,0.438149264927713,0.25,0.47033775845242265
20260626T113929Z-clean-run-eu-us-gac-v1__pilot-balanc--7be394bafc6a--gion_tenant_tier_join__lookback_days-30__limit_k-50,0.2079399356277436,0.5366434161061545,0.22277801565215352,0.9294936622431859,0.5,0.4131678761594816,0.45287285587921966,0.0,0.0,0.004825614190241603,0.005979355349028155,0.2678897959435212,0.19624080872494817,0.0,0.5,0.25,0.47295345186011245,0.080619426139239,0.477122181908488
20260626T113954Z-clean-run-eu-us-gac-v1__pilot-balanc--ecd596127596--rollup__lookback_days-30__min_value-900__limit_k-50,0.21447145844017593,0.5227671222282492,0.22277801565215352,0.9054592162258968,0.0,0.0,0.0,0.0,0.007561141624794636,0.0038481527180242087,0.008129804875101357,0.2649461597478896,0.19293142095945223,0.0,0.5,0.25,0.46612600776075686,0.466810245822632,0.08783332806498906
20260626T114011Z-clean-run-eu-us-gac-v1__pilot-balanc--739a08d4e352--_etl_user_segment_topk__lookback_days-1__limit_k-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34646571047972613,0.25,0.34646571047972613,0.25
