condition_id,repetition_count,mean_l1_to_condition_mean,max_l1_to_condition_mean,dominant_cluster,dominant_cluster_agreement,mean_membership_c0,mean_membership_c1,mean_membership_c2,mean_membership_c3
cond-0310221dd4f525ebbd94,3,7.07366362151518e-08,1.0610495429497213e-07,2,1.0,0.21400981090319604,0.2470871893107042,0.2846519564704185,0.2542510433156812
cond-035b1b9f0c873b267eb4,3,1.1102230246251565e-16,1.1102230246251565e-16,3,1.0,0.022525133091847085,0.06204423465929887,0.011085444351085758,0.9043451878977683
cond-06d0a73fabed411b37fc,3,2.7755575615628914e-17,2.7755575615628914e-17,2,1.0,0.20906792451522352,0.2445804461382203,0.29215056064227096,0.2542010687042851
cond-0754ed1d08faa440d5bb,3,4.429568129134138e-05,6.642497762856733e-05,1,1.0,0.11616898245894318,0.6640195677532974,0.02566412919248677,0.1941473205952727
cond-0815667b5c439756a642,5,6.16674025084446e-06,1.0715570206965529e-05,2,1.0,0.005358641827231717,0.009952240925976165,0.9723607728133331,0.012328344433459138
cond-109494aaf85c5b74f7dc,3,5.0007653355425376e-05,7.501148003304092e-05,1,1.0,0.17552413390769753,0.41576067870164196,0.08353679304712086,0.3251783943435396
cond-129d83d07d674987662d,3,0.00010577016770436469,0.00015615291397855224,0,1.0,0.4500458103366132,0.27204262924156225,0.09278192594967664,0.1851296344721479
cond-1661f99ef69859e5d461,3,0.0001630936042326392,0.00024464040634897266,3,1.0,0.17532271773042107,0.29034298073894244,0.1594315750232238,0.3749027265074127
cond-17b0613b129bd2b9c16c,3,3.233300167212322e-05,4.6101881032455105e-05,0,1.0,0.7056748282080436,0.18178593527342476,0.030025445835667273,0.08251379068286428
cond-1c1b79e78e1cf306ea1b,3,8.148521087512443e-05,0.0001222278163127144,1,1.0,0.24626240511133055,0.36396188093320103,0.13345093783541956,0.25632477612004884
cond-1ef8768e78a1de56adf1,5,0.0019136558023342214,0.003824614788633676,0,1.0,0.4067611607300187,0.30730047308089337,0.06709220207920172,0.2188461641098863
cond-213094df63d00ed2a194,3,3.036939555482269e-07,4.5554093319744027e-07,2,1.0,0.2304768216417,0.2532831691888305,0.2637117464190916,0.25252826275037804
